,0,1,2,3,4,5,6,7,8,9,10
0,전체,조던 피터슨 “암호화폐로 자유시장 가능해”,"[토큰포스트 저녁 브리핑] 美 상원 농업위, CFTC에 암호화폐 현물 규제권 부여 법안 발의 예정 外","[이모저모] 솔라나 월렛 도난액, 잡코인 포함 7600억원 外","솔라나, 지갑 취약점 공격 당해…39억 이상 탈취","스카이브릿지캐피털 CEO 비트코인, 이미 바닥쳤다…공정가치는 4만달러",[체험기] NFT 거래소인데 개인 지갑이 필요 없다고?,"“메타버스, 게임 없이 실현 불가능…위믹스가 시장 주역 될 것”—장현국 대표",[코툰]이더리움 2.0 업그레이드 기대감 과장됐다,"클레이튼, ABGA와 '글로벌 블록체인 게임 해커톤 2022' 개최","이더리움네임서비스(ENS), 7월 한달 신규 등록 '37만 건' 넘었다"
1,전체,"[단독] 체인링크, 첫 한국 총괄 선임…삼성전자 출신 합류","코스피, 外人 매수에 2,460대 안착…원/달러 환율, 미중 갈등에 5.6원 올라",[코인 빅데이터] 인기 NFT·메타버스 암호화폐…에이프코인(APE) VS 디센트럴랜드(MANA) 트렌드,"라인, 글로벌 NFT 플랫폼 '도시' 티저 공개…카카오와 차이점은?","컴투스 P2E ‘아이들 루카’, 블록체인 게임 중 1위 달성",[마감 시세브리핑] 다시 상승하는 암호화폐 시장…비트코인 2만3000달러 회복,미·중 갈등 우려에…환율 5거래일 만에 1310원대로(종합),"비트코인, 2만2500달러 테스트…반등 가능성↑","해치랩스, '해치 웹3 론칭 프로그램' 공개…넷마블·컴투스 참여","비트겟, 거래소 사용자 안전 위해 2억 달러 규모 투자자 보호 펀드 출시"
2,전체,"크레이그 라이트, 명예훼손 승소했지만…단돈 ‘1파운드’ 배상 판결","세계 최대 교과서 출판사도 주목…""NFT로 전자책 유통 관리""","테라·루나 의혹 불거진 '해시드', 세 번째 VC 펀드 조성한다","[토큰포스트 오후 브리핑] 아바랩스 설립자 ""솔라나 체인 중단해도 문제 해결 못해.. 서플라이 체인 공격 가능성"" 外","SKT, 원화 결제 가능한 NFT 거래소 ‘탑포트’ 출시",아이메타버스 NFT 프로젝트 ‘혼(HON)’에 퓨전국악밴드 온도 보컬 김아영 전격 합류,인플레 여파에 미국인 2분기 카드빚 23년만에 최대폭 증가,"'비트코인 빚투' 마이크로스트레티지, 조단위 투자손실에 CEO 물러나","솔라나 NFT 거래소 매직에덴, 이더리움으로 확장",머지 업그레이드 이후 두 개의 이더리움?…'PoW 이더리움' 존속 가능성 제기돼
3,전체,"대만 언론 “인민해방군, 해상 군사훈련 ‘3일간 대만 봉쇄’…천연가스 수송 영향”",[8월 3일 정오 간추린 뉴스] 솔라나 월렛 팬텀 취약점 공격 발생… 5억 8천만 달러 탈취 外,"금융위 ""현재 거래 중인 증권성토큰도 조사·제재 가능""",[펠로시 대만 방문] 중국 보복 본격화…대만 “국민의 뜻 따른다”,"마이클 세일러, CEO 사임…""비트코인 매입에 집중""","뉴욕 금융당국, 로빈후드 암호화폐 사업에 ‘400억’ 과태료…“중대한 규제 위반 있었다”","[코인시황] 비트코인 5일 연속 하락…""거래량 평균 이하""","“아직 할 일 많다” …연준, 잇달아 추가 금리 인상 시사 발언(종합)","퍼블리시, 언론사 NFT 플랫폼 출시","마이클 세일러, 마이크로스트래티지 CEO 자리 넘긴다…”의장직 통해 비트코인에 전념”"
4,전체,"대만 언론 “인민해방군, 해상 군사훈련 ‘3일간 대만 봉쇄’…천연가스 수송 영향”",[8월 3일 정오 간추린 뉴스] 솔라나 월렛 팬텀 취약점 공격 발생… 5억 8천만 달러 탈취 外,"금융위 ""현재 거래 중인 증권성토큰도 조사·제재 가능""",[펠로시 대만 방문] 중국 보복 본격화…대만 “국민의 뜻 따른다”,"마이클 세일러, CEO 사임…""비트코인 매입에 집중""","뉴욕 금융당국, 로빈후드 암호화폐 사업에 ‘400억’ 과태료…“중대한 규제 위반 있었다”","[코인시황] 비트코인 5일 연속 하락…""거래량 평균 이하""","“아직 할 일 많다” …연준, 잇달아 추가 금리 인상 시사 발언(종합)","퍼블리시, 언론사 NFT 플랫폼 출시","마이클 세일러, 마이크로스트래티지 CEO 자리 넘긴다…”의장직 통해 비트코인에 전념”"
5,일반,"[이모저모] 솔라나 월렛 도난액, 잡코인 포함 7600억원 外","스카이브릿지캐피털 CEO 비트코인, 이미 바닥쳤다…공정가치는 4만달러","“메타버스, 게임 없이 실현 불가능…위믹스가 시장 주역 될 것”—장현국 대표",[코툰]이더리움 2.0 업그레이드 기대감 과장됐다,"이더리움네임서비스(ENS), 7월 한달 신규 등록 '37만 건' 넘었다","코스피, 外人 매수에 2,460대 안착…원/달러 환율, 미중 갈등에 5.6원 올라",[코인 빅데이터] 인기 NFT·메타버스 암호화폐…에이프코인(APE) VS 디센트럴랜드(MANA) 트렌드,[마감 시세브리핑] 다시 상승하는 암호화폐 시장…비트코인 2만3000달러 회복,미·중 갈등 우려에…환율 5거래일 만에 1310원대로(종합),"비트겟, 거래소 사용자 안전 위해 2억 달러 규모 투자자 보호 펀드 출시"
6,일반,"크레이그 라이트, 명예훼손 승소했지만…단돈 ‘1파운드’ 배상 판결","세계 최대 교과서 출판사도 주목…""NFT로 전자책 유통 관리""","테라·루나 의혹 불거진 '해시드', 세 번째 VC 펀드 조성한다","[토큰포스트 오후 브리핑] 아바랩스 설립자 ""솔라나 체인 중단해도 문제 해결 못해.. 서플라이 체인 공격 가능성"" 外",아이메타버스 NFT 프로젝트 ‘혼(HON)’에 퓨전국악밴드 온도 보컬 김아영 전격 합류,"'비트코인 빚투' 마이크로스트레티지, 조단위 투자손실에 CEO 물러나",머지 업그레이드 이후 두 개의 이더리움?…'PoW 이더리움' 존속 가능성 제기돼,"대만 언론 “인민해방군, 해상 군사훈련 ‘3일간 대만 봉쇄’…천연가스 수송 영향”",[8월 3일 정오 간추린 뉴스] 솔라나 월렛 팬텀 취약점 공격 발생… 5억 8천만 달러 탈취 外,"금융위 ""현재 거래 중인 증권성토큰도 조사·제재 가능"""
7,일반,[펠로시 대만 방문] 중국 보복 본격화…대만 “국민의 뜻 따른다”,"뉴욕 금융당국, 로빈후드 암호화폐 사업에 ‘400억’ 과태료…“중대한 규제 위반 있었다”","“아직 할 일 많다” …연준, 잇달아 추가 금리 인상 시사 발언(종합)","퍼블리시, 언론사 NFT 플랫폼 출시","마이클 세일러, 마이크로스트래티지 CEO 자리 넘긴다…”의장직 통해 비트코인에 전념”","NFT 플랫폼 닉플레이스, 삼성동 신사옥 확장 이전",크립토 비즈니스는 새로운 리더십을 원한다(ft. 마이클 세일러 퇴진),"美中 갈등 고조에 환율 급등세…10.3원 오른 1,315원 출발","비트코인 '공포·탐욕 지수' 34, 투심 위축세 지속…전주 BTC 투자 펀드에 8,400만달러 순유입","마이크로스트래티지, 보유 비트코인 팔까?…평가손 20억 달러 육박, 평단 3만달러"
8,일반,미국 투자자 소득 낮을수록 시장 폭락에 매도 – 시빅 사이언스 조사,"매직에덴 이더리움 기반 NFT 지원 … 솔라나, 이더리움 모두 이용 가능",[시세브리핑]'미중 갈등·인플레이션 우려' 고조…비트코인 2만3천달러서 횡보,"펠로시 대만 방문, “미·중, 분노 고조…물러서면 체면 상해”",美 로빈후드 인플레 등 악재에 인력 23% 감축,"[토큰포스트 브리핑] 리플 법률 고문 ""SEC 암호화폐 시장 접근 방식 불합리적"" 外","비트코인, 美증시 하락에도 2만3천달러선 유지…옵션 트레이더, BTC 바닥 2만달러 예상","'비트코인 맥시멀리스트' 마이클 세일러, 마이크로스트레티지 CEO 사임…BTC 매입 전략에 집중할 것",미국 6월 구인건수 60.5만 감소… “9개월래 최저 수준”,"지난 24시간 트위터 언급 횟수, 리플 1위…비트코인·이더리움·테더 뒤이어"
9,규제/정책,"'살인적 고물가' 아르헨티나, 기준금리 52→60% 대폭 인상",獨 7월 물가상승률 7.5%…9월 8% 이상 뛸 수도,옐런 美 경제 성장 둔화…경기침체는 아냐,美 2분기 성장률 -0.9%…기술적 경기침체 빠졌다,美 연준 '자이언트 스텝'에 미중 단기금리 사상 첫 역전,"CNBC 유럽, 러시아와 '가스 전쟁'에 경기후퇴 불가피",'경기 침체' 홍콩도 두달 연속 '자이언트 스텝',"지난 한시간 트위터 언급 횟수, 이더리움·비트코인·리플 順",CME 페드워치 9월 기준금리 50bp 인상 가능성 65.0%…75bp 확률은 35.0%,美 자이언트스텝 여파에 韓 기준금리 연말 3%까지도…한은 8월 다시 빅스텝 밟나
